cluster_name,human_time_mean,success_pct,autonomy_mean,ai_time_mean,edu_years_mean,complexity_bin,time_savings_ratio,complexity_score
"accompany buyers during visits to and inspections of property, advising them on the suitability and value of the homes they are visiting.",1.3395832777023315,0.7083333333333335,3.375,12.125,10.375,low,0.8491446282608507,-0.8411796958158704
act as advisers to student organizations.,1.6690815687179563,0.8469387755102041,3.510204076766968,13.403060913085938,11.969388008117676,low,0.8661633123640465,-0.666491732312543
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,2.093088150024414,0.8823529411764706,2.897058725357056,16.507352828979492,12.867647171020508,medium,0.868556636209302,-0.44169892391245086
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",3.592567205429077,0.7567567567567568,3.229729652404785,15.851351737976074,14.797297477722168,high,0.9264622815590777,0.3532701234144516
act as liaisons between on-site managers or tenants and owners.,0.8507692217826843,0.9487179487179487,3.0256409645080566,10.28205108642578,11.076923370361328,low,0.7985734395186319,-1.1003310610542278
adapt instructional content or delivery methods for different levels or types of learners.,2.845555543899536,0.6581196581196581,3.313390254974365,12.450142860412598,12.521367073059082,medium,0.9270784288671743,-0.04276818520197898
adapt software and accompanying technical documents to another language and culture.,2.1880953311920166,0.8095238095238095,3.2857143878936768,11.119047164916992,11.285714149475098,medium,0.9153064996269333,-0.39132958528795053
adapt teaching methods and instructional materials to meet students' varying needs and interests.,2.73062515258789,0.5892857142857143,3.419642925262451,11.611607551574709,11.116071701049805,medium,0.9291272944062519,-0.10370008242362466
adapt text to accommodate musical requirements of composers and singers.,3.7623119354248047,0.8333333333333335,3.1720430850982666,16.147850036621094,10.456989288330078,high,0.9284666347280699,0.44326258166659377
adapt the quantity of ingredients to match the amount of items to be baked.,0.6823256015777588,0.9534883720930232,3.372092962265014,15.697674751281738,6.988372325897217,low,0.6165644203934406,-1.1896337184004266
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",5.358717918395996,0.8076923076923077,2.653846263885498,8.993589401245117,11.20512866973877,high,0.9720281681234145,1.289618747066374
"address employee relations issues, such as harassment allegations, work complaints, or other employee concerns.",1.959743618965149,0.8461538461538461,3.538461446762085,15.12820529937744,12.79487133026123,medium,0.8713419691486145,-0.5123933257050982
"address legal issues, such as child abuse and discipline, assisting with hearings and providing testimony to inform custody arrangements.",3.325000047683716,0.9500000000000001,2.900000095367432,24.024999618530277,12.100000381469728,medium,0.8795739384762479,0.21141578558817647
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",0.7842252850532532,0.8642925890279115,2.962463855743408,9.966554641723633,12.124157905578612,low,0.7881868294804503,-1.1356102267061292
"adjust apertures, shutter speeds, and camera focus based on a combination of factors such as lighting, field depth, subject motion, film type, and film speed.",1.0818181037902832,0.9090909090909091,3.6363637447357178,13.954545021057127,8.272727012634277,low,0.7850139967744167,-0.9778373796963659
"adjust coaching techniques, based on the strengths and weaknesses of athletes.",2.4677419662475586,0.9354838709677421,3.806451559066773,27.645160675048828,8.967741966247559,medium,0.813289766831619,-0.24307114962858517
adjust navigation according to weather conditions.,1.5600000619888306,,3.3499999046325684,8.75,8.75,low,0.9065170977317708,-0.7243227644786002
"adjust or replace defective or improperly functioning circuitry or electronics components, using hand tools or soldering iron.",1.0812499523162842,0.6875,3.625,17.5625,10.625,low,0.729287078620179,-0.9781385928639619
adjust sales scripts to better target the needs and interests of specific individuals.,1.826241135597229,0.8936170212765957,3.390070915222168,15.11347484588623,11.978723526000977,low,0.8620712004994554,-0.5831714680447587
"adjust, repair, or replace malfunctioning components or assemblies, using hand tools or soldering irons.",0.8649999499320984,,3.5,25.625,8.25,low,0.5062620138106841,-1.0927864485710246
"administer and score applicant and employee aptitude, personality, and interest assessment instruments.",2.4666666984558105,,3.5999999046325684,10.466666221618652,14.133333206176758,medium,0.9292792831977731,-0.24364121735240313
administer construction contracts.,2.945000171661377,0.6470588235294118,2.941176414489746,13.04411792755127,14.382352828979492,medium,0.9261793029585652,0.009953725590082342
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,4.360568523406982,0.5340909090909091,3.0681817531585693,11.960227012634276,13.613636016845703,high,0.954286438612942,0.760436381521295
"administer highway planning, construction, or maintenance.",6.352726936340332,0.5818181818181818,3.6363637447357178,13.763636589050291,13.909090995788574,high,0.9638904764127975,1.8166060358726897
administer online purchasing systems.,1.7817727327346802,0.6227272727272728,3.0227272510528564,11.406818389892578,9.986363410949709,low,0.8933008478922253,-0.6067469916456864
administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,1.7225581407546997,0.744186046511628,3.139534950256348,11.709301948547363,11.720930099487305,low,0.8867062725730195,-0.638140406314938
"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",2.111869096755981,0.7476635514018692,3.616822481155396,10.088785171508787,9.50467300415039,medium,0.9203802831418698,-0.43174195167114016
"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",1.640714168548584,0.8714285714285714,3.757142782211304,10.519047737121582,8.571428298950195,low,0.893145640084007,-0.6815310921532185
"administer, proctor, or score academic or diagnostic assessments.",1.487313985824585,0.7975206611570248,2.719008207321167,13.716941833496094,12.066115379333496,low,0.8462895532457543,-0.7628582682016762
advise and instruct teachers employed in school systems by providing activities such as in-service seminars.,2.089062452316284,0.875,3.71875,14.84375,13.96875,medium,0.8815756642128966,-0.44383320185406205
advise and teach students.,4.692985534667969,0.7440758293838863,3.3744075298309326,20.117298126220703,15.84597110748291,high,0.9285554366986984,0.9366717439326002
"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",0.9443846344947816,0.8717948717948718,3.4076921939849854,11.34294891357422,8.079486846923828,low,0.7998176361046936,-1.050699587249636
advise athletes on the proper use of equipment.,0.7404000163078308,0.92,3.4800000190734863,7.739999771118164,7.920000076293945,low,0.8257698631226538,-1.1588447840797844
"advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",4.915094375610352,0.679245283018868,3.735849142074585,10.150943756103516,11.320755004882812,high,0.9655790137470046,1.0544257419297232
"advise client on interior design factors such as space planning, layout and use of furnishings or equipment, and color coordination.",2.039365530014038,0.7873134328358209,3.470149278640747,12.886194229125977,8.847015380859375,medium,0.8946878817662041,-0.47018069556215775
advise clients about colors and types of makeup and instruct them in makeup application techniques.,1.005147099494934,0.8088235294117648,3.764705896377564,14.610294342041016,8.132352828979492,low,0.7577420202246619,-1.0184855468198617
advise clients about proper clothing and shoes.,0.5391303896903992,0.9130434782608695,3.52173924446106,6.5652174949646,8.1304349899292,low,0.7970429905730616,-1.2655505915074987
"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",2.589677333831787,0.8419354838709677,3.5580644607543945,20.564516067504883,12.090322494506836,medium,0.8676507184965471,-0.17842546974762805
advise clients on financial and legal matters such as investments and taxes.,2.608776569366455,0.8033503277494538,3.4107792377471924,16.773488998413086,12.404224395751951,medium,0.8928393664462256,-0.16829975240403394
advise clients on how they could be helped by counseling.,1.4059308767318726,0.816017316017316,3.915584325790405,18.334415435791016,8.919913291931152,low,0.7826539016577887,-0.8060046212439168
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",2.69193959236145,0.7866132723112128,3.406178474426269,14.575800895690918,11.635583877563477,medium,0.9097565132525591,-0.12420975399767743
advise clients on nail care and use of products and colors.,3.771555662155152,0.8666666666666667,3.444444417953491,12.233333587646484,8.022222518920898,high,0.9459403727821599,0.44816326807904333
advise clients on transportation and payment methods.,1.139285683631897,0.6785714285714286,3.357142925262451,7.5714287757873535,8.928571701049805,low,0.8892371936122494,-0.9473701670772864
"advise clients or community groups on issues related to improving general health, such as diet or exercise.",0.746399998664856,0.96,3.759999990463257,4.559999942779541,7.800000190734863,low,0.8981779217815209,-1.1556638125009213
"advise clients or community groups on issues related to risk or prevention of conditions such as lead poisoning, human immunodeficiency virus (hiv), prenatal substance abuse, or domestic violence.",0.5833333134651184,,3.200000047683716,6.699999809265137,8.0,low,0.8085714275009778,-1.242115815225966
"advise clients or community groups on issues related to sanitation or hygiene, such as flossing or hand washing.",0.4595833122730255,1.0,3.2916667461395264,3.8541667461395264,6.333333492279053,low,0.8602296673524605,-1.3077235475912787
advise clients or community groups to ensure parental understanding of the importance of childhood immunizations and how to access immunization services.,0.8735294342041016,,2.882352828979492,4.970588207244873,9.941176414489746,low,0.9051627414674408,-1.088264427432107
"advise clients or respond to inquiries about financial matters in person or via phone, email, web site, or internet chat.",1.3165216445922852,0.8695652173913044,3.17391300201416,10.760869979858398,11.39130401611328,low,0.8637714512827608,-0.8534061316818575
"advise construction firms or government agencies on dam or road construction, foundation design, land use, or resource management.",4.179999828338623,0.8200000000000001,3.740000009536743,18.6200008392334,14.5,high,0.9257575693624128,0.6647054521840947
advise corporations on issues involving corporate image projects or problems.,1.735606074333191,0.7424242424242425,3.560606002807617,11.113636016845703,11.863636016845703,low,0.8932780486962795,-0.6312228683279345
advise customer about or perform maintenance of software system.,2.2341463565826416,0.7560975609756098,3.463414669036865,9.682927131652832,12.04878044128418,medium,0.9277656459768682,-0.3669150130061573
"advise customers concerning equipment operation, maintenance, or programming.",1.1350972652435305,0.8171206225680934,3.474708080291748,12.86964988708496,8.147859573364258,low,0.8110345506481945,-0.9495907135824242
